FilePath,FileName,NumberLine,Header,End,Status
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年02月01日_d3,T-MTF_2023.02.01_d3.csv,,,,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年02月02日_d3,T-MTF_2023.02.02_d3.csv,,,,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年02月03日_d3,T-MTF_2023.02.03_d3.csv,,,,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年02月04日_d3,T-MTF_2023.02.04_d3.csv,,,,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年02月06日_d3,T-MTF_2023.02.06_d3.csv,,,,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年02月07日_d3,T-MTF_2023.02.07_d3.csv,,,,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年02月08日_d3,T-MTF_2023.02.08_d3.csv,,,,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年02月09日_d3,T-MTF_2023.02.09_d3.csv,,,,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年02月10日_d3,T-MTF_2023.02.10_d3.csv,,,,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年02月11日_d3,T-MTF_2023.02.11_d3.csv,,,,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年02月13日_d3,T-MTF_2023.02.13_d3.csv,,,,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年02月14日_d3,T-MTF_2023.02.14_d3.csv,,,,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年02月15日_d3,T-MTF_2023.02.15_d3.csv,,,,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年02月16日_d3,T-MTF_2023.02.16_d3.csv,,,,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年02月17日_d3,T-MTF_2023.02.17_d3.csv,,,,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年02月18日_d3,T-MTF_2023.02.18_d3.csv,,,,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年02月20日_d3,T-MTF_2023.02.20_d3.csv,,,,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年02月21日_d3,T-MTF_2023.02.21_d3.csv,,,,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年02月22日_d3,T-MTF_2023.02.22_d3.csv,,,,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年02月23日_d3,T-MTF_2023.02.23_d3.csv,,,,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年02月24日_d3,T-MTF_2023.02.24_d3.csv,,,,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年02月27日_d3,T-MTF_2023.02.27_d3.csv,,,,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年02月28日_d3,T-MTF_2023.02.28_d3.csv,,,,OK
