FilePath,FileName,DateCreate,DateModify,Status
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\22年12月04日_d3,T-MTF_2022.12.04_d3.csv,2022.12.04,03/12/2022,NG
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\22年12月25日_d3,T-MTF_2022.12.25_d3.csv,2022.12.25,24/12/2022,NG
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\22年11月06日_d3,T-MTF_2022.11.06_d3.csv,2022.11.06,05/11/2022,NG
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\22年11月13日_d3,T-MTF_2022.11.13_d3.csv,2022.11.13,12/11/2022,NG
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\22年11月20日_d3,T-MTF_2022.11.20_d3.csv,2022.11.20,19/11/2022,NG
FilePath,FileName,DateCreate,DateModify,Status
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\22年12月04日_d3,T-MTF_2022.12.04_d3.csv,2022.12.04,03/12/2022,NG
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\22年12月25日_d3,T-MTF_2022.12.25_d3.csv,2022.12.25,24/12/2022,NG
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\22年11月06日_d3,T-MTF_2022.11.06_d3.csv,2022.11.06,05/11/2022,NG
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\22年11月13日_d3,T-MTF_2022.11.13_d3.csv,2022.11.13,12/11/2022,NG
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\22年11月20日_d3,T-MTF_2022.11.20_d3.csv,2022.11.20,19/11/2022,NG
