 FilePath,FileName,DateModify,Status
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年01月03日_d3,T-MTF_2023.01.03_d3.csv,19:09 03/01/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年01月04日_d3,T-MTF_2023.01.04_d3.csv,19:29 04/01/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年01月05日_d3,T-MTF_2023.01.05_d3.csv,20:55 05/01/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年01月06日_d3,T-MTF_2023.01.06_d3.csv,21:36 06/01/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年01月07日_d3,T-MTF_2023.01.07_d3.csv,20:59 07/01/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年01月08日_d3,T-MTF_2023.01.08_d3.csv,23:30 07/01/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年01月09日_d3,T-MTF_2023.01.09_d3.csv,21:37 09/01/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年01月10日_d3,T-MTF_2023.01.10_d3.csv,21:34 10/01/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年01月11日_d3,T-MTF_2023.01.11_d3.csv,21:32 11/01/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年01月12日_d3,T-MTF_2023.01.12_d3.csv,21:14 12/01/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年01月13日_d3,T-MTF_2023.01.13_d3.csv,21:41 13/01/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年01月14日_d3,T-MTF_2023.01.14_d3.csv,21:17 14/01/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年01月16日_d3,T-MTF_2023.01.16_d3.csv,20:24 16/01/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年01月17日_d3,T-MTF_2023.01.17_d3.csv,20:36 17/01/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年01月18日_d3,T-MTF_2023.01.18_d3.csv,20:11 18/01/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年01月19日_d3,T-MTF_2023.01.19_d3.csv,22:40 18/01/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年01月28日_d3,T-MTF_2023.01.28_d3.csv,22:01 28/01/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年01月29日_d3,T-MTF_2023.01.29_d3.csv,22:54 28/01/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年01月30日_d3,T-MTF_2023.01.30_d3.csv,21:37 30/01/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年01月31日_d3,T-MTF_2023.01.31_d3.csv,21:47 31/01/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年02月01日_d3,T-MTF_2023.02.01_d3.csv,07:24 01/02/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年02月02日_d3,T-MTF_2023.02.02_d3.csv,14:53 02/02/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年02月03日_d3,T-MTF_2023.02.03_d3.csv,14:54 03/02/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年02月04日_d3,T-MTF_2023.02.04_d3.csv,14:53 04/02/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年02月06日_d3,T-MTF_2023.02.06_d3.csv,14:53 06/02/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年02月07日_d3,T-MTF_2023.02.07_d3.csv,14:54 07/02/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年02月08日_d3,T-MTF_2023.02.08_d3.csv,14:45 08/02/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年02月09日_d3,T-MTF_2023.02.09_d3.csv,14:49 09/02/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年02月10日_d3,T-MTF_2023.02.10_d3.csv,14:46 10/02/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年02月11日_d3,T-MTF_2023.02.11_d3.csv,14:45 11/02/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年02月13日_d3,T-MTF_2023.02.13_d3.csv,14:49 13/02/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年02月14日_d3,T-MTF_2023.02.14_d3.csv,14:32 14/02/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年02月15日_d3,T-MTF_2023.02.15_d3.csv,14:26 15/02/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年02月16日_d3,T-MTF_2023.02.16_d3.csv,14:43 16/02/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年02月17日_d3,T-MTF_2023.02.17_d3.csv,17:50 17/02/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年02月18日_d3,T-MTF_2023.02.18_d3.csv,14:42 18/02/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年02月20日_d3,T-MTF_2023.02.20_d3.csv,14:37 20/02/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年02月21日_d3,T-MTF_2023.02.21_d3.csv,17:52 21/02/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年02月22日_d3,T-MTF_2023.02.22_d3.csv,17:32 22/02/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年02月23日_d3,T-MTF_2023.02.23_d3.csv,16:52 23/02/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年02月24日_d3,T-MTF_2023.02.24_d3.csv,13:44 24/02/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年02月27日_d3,T-MTF_2023.02.27_d3.csv,16:33 27/02/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年02月28日_d3,T-MTF_2023.02.28_d3.csv,14:40 28/02/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月01日_d3,T-MTF_2023.03.01_d3.csv,17:36 01/03/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月02日_d3,T-MTF_2023.03.02_d3.csv,16:56 02/03/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月03日_d3,T-MTF_2023.03.03_d3.csv,21:39 03/03/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月04日_d3,T-MTF_2023.03.04_d3.csv,17:45 04/03/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月05日_d3,T-MTF_2023.03.05_d3.csv,05:26 05/03/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月06日_d3,T-MTF_2023.03.06_d3.csv,17:46 06/03/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月07日_d3,T-MTF_2023.03.07_d3.csv,17:36 07/03/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月08日_d3,T-MTF_2023.03.08_d3.csv,17:47 08/03/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月09日_d3,T-MTF_2023.03.09_d3.csv,17:49 09/03/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月10日_d3,T-MTF_2023.03.10_d3.csv,17:29 10/03/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月11日_d3,T-MTF_2023.03.11_d3.csv,05:43 11/03/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月13日_d3,T-MTF_2023.03.13_d3.csv,17:26 13/03/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月14日_d3,T-MTF_2023.03.14_d3.csv,14:48 07/04/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月15日_d3,T-MTF_2023.03.15_d3.csv,21:31 15/03/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月16日_d3,T-MTF_2023.03.16_d3.csv,21:39 16/03/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月17日_d3,T-MTF_2023.03.17_d3.csv,16:57 17/03/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月18日_d3,T-MTF_2023.03.18_d3.csv,17:44 18/03/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月19日_d3,T-MTF_2023.03.19_d3.csv,05:06 19/03/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月20日_d3,T-MTF_2023.03.20_d3.csv,03:35 21/03/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月21日_d3,T-MTF_2023.03.21_d3.csv,17:35 21/03/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月22日_d3,T-MTF_2023.03.22_d3.csv,17:32 22/03/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月23日_d3,T-MTF_2023.03.23_d3.csv,17:44 23/03/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月24日_d3,T-MTF_2023.03.24_d3.csv,17:38 24/03/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月25日_d3,T-MTF_2023.03.25_d3.csv,05:32 25/03/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月27日_d3,T-MTF_2023.03.27_d3.csv,21:36 27/03/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月28日_d3,T-MTF_2023.03.28_d3.csv,17:54 28/03/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月29日_d3,T-MTF_2023.03.29_d3.csv,17:57 29/03/2023,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月30日_d3,T-MTF_2023.03.30_d3.csv,21:59 30/03/2023,NG
