 FilePath,FileName,DateModify,Status
AF044,\\192.168.2.23\Config\VersionConfig.csv,VersionConfig.csv,16:30 16/05/2023,NG
AF044,\\192.168.2.23\Config\Alignment\AlignmentModeConfig.csv,AlignmentModeConfig.csv,16:31 16/05/2023,NG
AF044,\\192.168.2.23\Config\Alignment\SaveAdress.csv,SaveAdress.csv,16:31 16/05/2023,NG
AF044,\\192.168.2.23\Config\CameraCL\CameraConfig.csv,CameraConfig.csv,16:31 16/05/2023,NG
AF044,\\192.168.2.23\Config\General\measContainerNum.csv,measContainerNum.csv,16:31 16/05/2023,NG
AF044,\\192.168.2.23\Config\General\measPosName.csv,measPosName.csv,16:31 16/05/2023,NG
AF044,\\192.168.2.23\Config\General\SystemInfo.csv,SystemInfo.csv,16:31 16/05/2023,NG
AF044,\\192.168.2.23\Config\MdDataSet\FocusShiftJudgement.csv,FocusShiftJudgement.csv,16:31 16/05/2023,NG
AF044,\\192.168.2.23\Config\MdDataSetSP\RankInfo.csv,RankInfo.csv,16:32 16/05/2023,NG
AF044,\\192.168.2.23\Config\MdDataSet_Align\FocusShiftJudgement.csv,FocusShiftJudgement.csv,16:32 16/05/2023,NG
AF044,\\192.168.2.23\Config\MdDataSet_Hinpo\FocusShiftJudgement.csv,FocusShiftJudgement.csv,16:32 16/05/2023,NG
AF044,\\192.168.2.23\Config\ProcessControl\LensProc.csv,LensProc.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\ProcessControl\ProcCtr.csv,ProcCtr.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\RS232C\CoordConfig.csv,CoordConfig.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\RS232C\DJBoardSerialConfig.csv,DJBoardSerialConfig.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\RS232C\EH10Z_SerialPortConfig.csv,EH10Z_SerialPortConfig.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\RS232C\EmountToolConfig.csv,EmountToolConfig.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\RS232C\IAI_SerialPortConfig.csv,IAI_SerialPortConfig.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\RS232C\IoConfig.csv,IoConfig.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\RS232C\IoConfig_singleSol.csv,IoConfig_singleSol.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\RS232C\IoSerialConfig.csv,IoSerialConfig.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\RS232C\IrisAddressConfig.csv,IrisAddressConfig.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\RS232C\IrisAddressConfig_CP.csv,IrisAddressConfig_CP.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\RS232C\IrisAddressConfig_EMount.csv,IrisAddressConfig_EMount.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\RS232C\IrisAddressConfig_EZ.csv,IrisAddressConfig_EZ.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\RS232C\IrisAddressMultiConfig.csv,IrisAddressMultiConfig.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\RS232C\MotorConfig.csv,MotorConfig.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\RS232C\MotorInitializeTurnConfig.csv,MotorInitializeTurnConfig.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\RS232C\MotorTeachingPosition.csv,MotorTeachingPosition.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\RS232C\MtrSerialConfig.csv,MtrSerialConfig.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\RS232C\TempMeterConfig.csv,TempMeterConfig.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\RS232C\TwoDimCodeConfig.csv,TwoDimCodeConfig.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\RS232C\TwoDimCodeSerialConfig.csv,TwoDimCodeSerialConfig.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\RS232C\UndaiConfig.csv,UndaiConfig.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\RS232C\Undai_SerialPortConfig.csv,Undai_SerialPortConfig.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\Alignment\Alignment0\AlignmentConfig0 - コピー.csv,AlignmentConfig0 - コピー.csv,16:31 16/05/2023,NG
AF044,\\192.168.2.23\Config\Alignment\Alignment0\AlignmentConfig0.csv,AlignmentConfig0.csv,16:31 16/05/2023,NG
AF044,\\192.168.2.23\Config\Alignment\Alignment0\AlignmentConfig0_映像ハロ.csv,AlignmentConfig0_映像ハロ.csv,16:31 16/05/2023,NG
AF044,\\192.168.2.23\Config\Alignment\Alignment1\AlignmentConfig0 - コピー.csv,AlignmentConfig0 - コピー.csv,16:31 16/05/2023,NG
AF044,\\192.168.2.23\Config\Alignment\Alignment1\AlignmentConfig0.csv,AlignmentConfig0.csv,16:31 16/05/2023,NG
AF044,\\192.168.2.23\Config\Alignment\Alignment2\AlignmentConfig0 - コピー.csv,AlignmentConfig0 - コピー.csv,16:31 16/05/2023,NG
AF044,\\192.168.2.23\Config\Alignment\Alignment2\AlignmentConfig0.csv,AlignmentConfig0.csv,16:31 16/05/2023,NG
AF044,\\192.168.2.23\Config\Alignment\Alignment3\AlignmentConfig0 - コピー.csv,AlignmentConfig0 - コピー.csv,16:31 16/05/2023,NG
AF044,\\192.168.2.23\Config\Alignment\Alignment3\AlignmentConfig0.csv,AlignmentConfig0.csv,16:31 16/05/2023,NG
AF044,\\192.168.2.23\Config\Alignment\Alignment3\AlignmentConfig0_190322.csv,AlignmentConfig0_190322.csv,16:31 16/05/2023,NG
AF044,\\192.168.2.23\Config\Camera\Pos0_35mm\cameraMeasConfig.csv,cameraMeasConfig.csv,16:31 16/05/2023,NG
AF044,\\192.168.2.23\Config\Camera\Pos0_35mm\camSerials.csv,camSerials.csv,16:31 16/05/2023,NG
AF044,\\192.168.2.23\Config\CameraCL\CameraParam\camSerials.csv,camSerials.csv,16:31 16/05/2023,NG
AF044,\\192.168.2.23\Config\CameraCL\CameraParam\videoModeConfig.csv,videoModeConfig.csv,16:31 16/05/2023,NG
AF044,\\192.168.2.23\Config\Flare\Pos0_35mm\flareViewerConfig.csv,flareViewerConfig.csv,16:31 16/05/2023,NG
AF044,\\192.168.2.23\Config\General\Pos0\measIrisName.csv,measIrisName.csv,16:31 16/05/2023,NG
AF044,\\192.168.2.23\Config\Measure\Pos0_35mm\cameraCentAroundPositionConfig.csv,cameraCentAroundPositionConfig.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\Measure\Pos0_35mm\DJBoardAFPosConfig.csv,DJBoardAFPosConfig.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\Measure\Pos0_35mm\DJBoardMTFPosConfig.csv,DJBoardMTFPosConfig.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\Measure\Pos0_35mm\DJBoardVERParamConfig.csv,DJBoardVERParamConfig.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\Measure\Pos0_35mm\DJBoardVERPosConfig.csv,DJBoardVERPosConfig.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\Measure\Pos0_35mm\pixelPitchConfig.csv,pixelPitchConfig.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\ProcessControl\WritePos0\AFROM.csv,AFROM.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\ProcessControl\WritePos1\AFROM.csv,AFROM.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\ProcessControl\WritePos2\AFROM.csv,AFROM.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\大宮\MdDataSet\FocusShiftJudgement.csv,FocusShiftJudgement.csv,16:34 16/05/2023,NG
AF044,\\192.168.2.23\Config\大宮\MdDataSetSP\RankInfo.csv,RankInfo.csv,16:36 16/05/2023,NG
AF044,\\192.168.2.23\Config\大宮\MdDataSet_Align\FocusShiftJudgement.csv,FocusShiftJudgement.csv,16:35 16/05/2023,NG
AF044,\\192.168.2.23\Config\大宮\MdDataSet_Hinpo\FocusShiftJudgement.csv,FocusShiftJudgement.csv,16:35 16/05/2023,NG
