 FilePath,FileName,DateModify,Status
AA025E,\\192.168.2.26\Confige\Alignment\AlignmentFlgConfig.csv,AlignmentFlgConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\Flare\flareViewerContainerConfig.csv,flareViewerContainerConfig.csv,07:14 27/09/2016,OK
AA025E,\\192.168.2.26\Confige\General\measInfo.csv,measInfo.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\General\SystemInfo.csv,SystemInfo.csv,08:57 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\MdDataSetSP\RankInfo.csv,RankInfo.csv,16:28 05/01/2017,OK
AA025E,\\192.168.2.26\Confige\MdDataSetSP\spVer.csv,spVer.csv,16:28 05/01/2017,OK
AA025E,\\192.168.2.26\Confige\ProcessControl\AFROM.csv,AFROM.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\ProcessControl\LensProc.csv,LensProc.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\ProcessControl\ProcCtr.csv,ProcCtr.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\RS232C\CoordConfig.csv,CoordConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\RS232C\EH10Z_SerialPortConfig.csv,EH10Z_SerialPortConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\RS232C\EmountToolConfig.csv,EmountToolConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\RS232C\IAI_SerialPortConfig.csv,IAI_SerialPortConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\RS232C\IoConfig.csv,IoConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\RS232C\IoSerialConfig.csv,IoSerialConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\RS232C\MotorConfig.csv,MotorConfig.csv,12:41 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\RS232C\MotorInitializeTurnConfig.csv,MotorInitializeTurnConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\RS232C\MtrSerialConfig.csv,MtrSerialConfig.csv,00:16 19/12/2018,OK
AA025E,\\192.168.2.26\Confige\RS232C\NikonLensDriveConfig.csv,NikonLensDriveConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\RS232C\TempMeterConfig.csv,TempMeterConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\RS232C\UndaiConfig.csv,UndaiConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\RS232C\Undai_SerialPortConfig.csv,Undai_SerialPortConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\Alignment\MID\alignmentConfig.csv,alignmentConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\Alignment\MID\balanceAlignmentConfig.csv,balanceAlignmentConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\Alignment\MID\CurveAlignmentConfig.csv,CurveAlignmentConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\Alignment\MID\FBAlignmentConfig.csv,FBAlignmentConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\Alignment\MID\MTFHaroAlignmentConfig.csv,MTFHaroAlignmentConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\Alignment\MID\SaAlignmentConfig.csv,SaAlignmentConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\Alignment\TELE\alignmentConfig.csv,alignmentConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\Alignment\TELE\balanceAlignmentConfig.csv,balanceAlignmentConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\Alignment\TELE\CurveAlignmentConfig.csv,CurveAlignmentConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\Alignment\TELE\FBAlignmentConfig.csv,FBAlignmentConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\Alignment\TELE\MTFHaroAlignmentConfig.csv,MTFHaroAlignmentConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\Alignment\TELE\SaAlignmentConfig.csv,SaAlignmentConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\Alignment\WIDE\alignmentConfig.csv,alignmentConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\Alignment\WIDE\balanceAlignmentConfig.csv,balanceAlignmentConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\Alignment\WIDE\CurveAlignmentConfig.csv,CurveAlignmentConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\Alignment\WIDE\FBAlignmentConfig.csv,FBAlignmentConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\Alignment\WIDE\MTFHaroAlignmentConfig.csv,MTFHaroAlignmentConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\Alignment\WIDE\SaAlignmentConfig.csv,SaAlignmentConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\Camera\TELE\camSerials.csv,camSerials.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\Camera\TELE\videoModeConfig.csv,videoModeConfig.csv,08:55 29/11/2016,OK
AA025E,\\192.168.2.26\Confige\Camera\WIDE\camSerials.csv,camSerials.csv,08:55 29/11/2016,OK
