 FilePath,FileName,DateModify,Status
AA025N,\\192.168.2.26\Confign\Alignment\AlignmentFlgConfig.csv,AlignmentFlgConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Flare\flareViewerContainerConfig.csv,flareViewerContainerConfig.csv,07:14 27/09/2016,OK
AA025N,\\192.168.2.26\Confign\General\measInfo.csv,measInfo.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\General\SystemInfo.csv,SystemInfo.csv,08:59 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\MdDataSetSP\RankInfo.csv,RankInfo.csv,16:28 05/01/2017,OK
AA025N,\\192.168.2.26\Confign\MdDataSetSP\spVer.csv,spVer.csv,16:28 05/01/2017,OK
AA025N,\\192.168.2.26\Confign\ProcessControl\AFROM.csv,AFROM.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\ProcessControl\LensProc.csv,LensProc.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\ProcessControl\ProcCtr.csv,ProcCtr.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\RS232C\CoordConfig.csv,CoordConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\RS232C\EH10Z_SerialPortConfig.csv,EH10Z_SerialPortConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\RS232C\EmountToolConfig.csv,EmountToolConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\RS232C\IAI_SerialPortConfig.csv,IAI_SerialPortConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\RS232C\IoConfig.csv,IoConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\RS232C\IoSerialConfig.csv,IoSerialConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\RS232C\MotorConfig.csv,MotorConfig.csv,12:42 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\RS232C\MotorInitializeTurnConfig.csv,MotorInitializeTurnConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\RS232C\MtrSerialConfig.csv,MtrSerialConfig.csv,12:55 11/01/2019,OK
AA025N,\\192.168.2.26\Confign\RS232C\NikonLensDriveConfig.csv,NikonLensDriveConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\RS232C\TempMeterConfig.csv,TempMeterConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\RS232C\UndaiConfig.csv,UndaiConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\RS232C\Undai_SerialPortConfig.csv,Undai_SerialPortConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Alignment\MID\alignmentConfig.csv,alignmentConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Alignment\MID\balanceAlignmentConfig.csv,balanceAlignmentConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Alignment\MID\CurveAlignmentConfig.csv,CurveAlignmentConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Alignment\MID\FBAlignmentConfig.csv,FBAlignmentConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Alignment\MID\MTFHaroAlignmentConfig.csv,MTFHaroAlignmentConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Alignment\MID\SaAlignmentConfig.csv,SaAlignmentConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Alignment\TELE\alignmentConfig.csv,alignmentConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Alignment\TELE\balanceAlignmentConfig.csv,balanceAlignmentConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Alignment\TELE\CurveAlignmentConfig.csv,CurveAlignmentConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Alignment\TELE\FBAlignmentConfig.csv,FBAlignmentConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Alignment\TELE\MTFHaroAlignmentConfig.csv,MTFHaroAlignmentConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Alignment\TELE\SaAlignmentConfig.csv,SaAlignmentConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Alignment\WIDE\alignmentConfig.csv,alignmentConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Alignment\WIDE\balanceAlignmentConfig.csv,balanceAlignmentConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Alignment\WIDE\CurveAlignmentConfig.csv,CurveAlignmentConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Alignment\WIDE\FBAlignmentConfig.csv,FBAlignmentConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Alignment\WIDE\MTFHaroAlignmentConfig.csv,MTFHaroAlignmentConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Alignment\WIDE\SaAlignmentConfig.csv,SaAlignmentConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\camSerials.csv,camSerials.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\videoModeConfig.csv,videoModeConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\WIDE\camSerials.csv,camSerials.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\WIDE\videoModeConfig.csv,videoModeConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Flare\MID\flareViewerConfig.csv,flareViewerConfig.csv,10:01 20/09/2016,OK
AA025N,\\192.168.2.26\Confign\Flare\TELE\flareViewerConfig.csv,flareViewerConfig.csv,14:32 11/01/2018,OK
AA025N,\\192.168.2.26\Confign\Flare\WIDE\flareViewerConfig.csv,flareViewerConfig.csv,07:17 27/09/2016,OK
AA025N,\\192.168.2.26\Confign\Measure\TELE\cameraCentAroundPositionConfig.csv,cameraCentAroundPositionConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Measure\TELE\measConfig.csv,measConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Measure\TELE\pixelPitchConfig.csv,pixelPitchConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Measure\WIDE\cameraCentAroundPositionConfig.csv,cameraCentAroundPositionConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Measure\WIDE\measConfig.csv,measConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Measure\WIDE\pixelPitchConfig.csv,pixelPitchConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\abs\autoExposureAbsVal.csv,autoExposureAbsVal.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\abs\brightnessAbsVal.csv,brightnessAbsVal.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\abs\frameRateAbsVal.csv,frameRateAbsVal.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\abs\gainAbsVal.csv,gainAbsVal.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\abs\gammaAbsVal.csv,gammaAbsVal.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\abs\sharpnessAbsVal.csv,sharpnessAbsVal.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\abs\shutterAbsVal.csv,shutterAbsVal.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\auto\autoExposureAuto.csv,autoExposureAuto.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\auto\brightnessAuto.csv,brightnessAuto.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\auto\frameRateAuto.csv,frameRateAuto.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\auto\gainAuto.csv,gainAuto.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\auto\gammaAuto.csv,gammaAuto.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\auto\sharpnessAuto.csv,sharpnessAuto.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\auto\shutterAuto.csv,shutterAuto.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\onOff\autoExposureOnOff.csv,autoExposureOnOff.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\onOff\brightnessOnOff.csv,brightnessOnOff.csv,08:55 29/11/2016,OK
