FilePath,FileName,NumberLine,Header,End,Status
AA038,\\192.168.2.57\d3\22年07月01日_d3,T-MTF_2022.07.01_d3.csv,,,,OK
AA038,\\192.168.2.57\d3\22年07月02日_d3,T-MTF_2022.07.02_d3.csv,,,,OK
AA038,\\192.168.2.57\d3\22年07月04日_d3,T-MTF_2022.07.04_d3.csv,,,,OK
AA038,\\192.168.2.57\d3\22年07月05日_d3,T-MTF_2022.07.05_d3.csv,,,,OK
AA038,\\192.168.2.57\d3\22年07月06日_d3,T-MTF_2022.07.06_d3.csv,,,,OK
AA038,\\192.168.2.57\d3\22年07月07日_d3,T-MTF_2022.07.07_d3.csv,,,,OK
AA038,\\192.168.2.57\d3\22年07月08日_d3,T-MTF_2022.07.08_d3.csv,,,,OK
AA038,\\192.168.2.57\d3\22年07月10日_d3,T-MTF_2022.07.10_d3.csv,,,,OK
AA038,\\192.168.2.57\d3\22年07月12日_d3,T-MTF_2022.07.12_d3.csv,,,,OK
AA038,\\192.168.2.57\d3\22年07月13日_d3,T-MTF_2022.07.13_d3.csv,,,,OK
AA038,\\192.168.2.57\d3\22年07月14日_d3,T-MTF_2022.07.14_d3.csv,,,,OK
AA038,\\192.168.2.57\d3\22年07月15日_d3,T-MTF_2022.07.15_d3.csv,,,,OK
AA038,\\192.168.2.57\d3\22年07月16日_d3,T-MTF_2022.07.16_d3.csv,,,,OK
AA038,\\192.168.2.57\d3\22年07月17日_d3,T-MTF_2022.07.17_d3.csv,,,,OK
AA038,\\192.168.2.57\d3\22年07月18日_d3,T-MTF_2022.07.18_d3.csv,,,,OK
AA038,\\192.168.2.57\d3\22年07月19日_d3,T-MTF_2022.07.19_d3.csv,,,,OK
AA038,\\192.168.2.57\d3\22年07月20日_d3,T-MTF_2022.07.20_d3.csv,,,,OK
AA038,\\192.168.2.57\d3\22年07月21日_d3,T-MTF_2022.07.21_d3.csv,,,,OK
AA038,\\192.168.2.57\d3\22年07月22日_d3,T-MTF_2022.07.22_d3.csv,,,,OK
AA038,\\192.168.2.57\d3\22年07月25日_d3,T-MTF_2022.07.25_d3.csv,,,,OK
AA038,\\192.168.2.57\d3\22年07月26日_d3,T-MTF_2022.07.26_d3.csv,,,,OK
AA038,\\192.168.2.57\d3\22年07月27日_d3,T-MTF_2022.07.27_d3.csv,,,,OK
AA038,\\192.168.2.57\d3\22年07月28日_d3,T-MTF_2022.07.28_d3.csv,,,,OK
AA038,\\192.168.2.57\d3\22年07月29日_d3,T-MTF_2022.07.29_d3.csv,,,,OK
AA038,\\192.168.2.57\d3\22年07月30日_d3,T-MTF_2022.07.30_d3.csv,,,,OK
