 FilePath,FileName,DateModify,Status
AA038,\\192.168.2.57\Config\Alignment\AlignmentName.csv,AlignmentName.csv,12:03 10/09/2018,OK
AA038,\\192.168.2.57\Config\Alignment\FlowName.csv,FlowName.csv,07:56 25/10/2018,OK
AA038,\\192.168.2.57\Config\CameraCL\CameraConfig.csv,CameraConfig.csv,08:08 16/03/2017,OK
AA038,\\192.168.2.57\Config\General\measContainerNum.csv,measContainerNum.csv,12:46 19/04/2019,OK
AA038,\\192.168.2.57\Config\General\measPosName.csv,measPosName.csv,12:46 19/04/2019,OK
AA038,\\192.168.2.57\Config\General\SystemInfo.csv,SystemInfo.csv,07:59 18/09/2018,OK
AA038,\\192.168.2.57\Config\MdDataSet\FocusShiftJudgement.csv,FocusShiftJudgement.csv,14:42 13/10/2018,OK
AA038,\\192.168.2.57\Config\MdDataSetSP\RankInfo.csv,RankInfo.csv,12:46 19/04/2019,OK
AA038,\\192.168.2.57\Config\ProcessControl\LensProc.csv,LensProc.csv,14:16 26/11/2015,OK
AA038,\\192.168.2.57\Config\ProcessControl\ProcCtr.csv,ProcCtr.csv,14:15 26/11/2015,OK
AA038,\\192.168.2.57\Config\RS232C\CoordConfig.csv,CoordConfig.csv,13:32 22/03/2013,OK
AA038,\\192.168.2.57\Config\RS232C\DJBoardSerialConfig.csv,DJBoardSerialConfig.csv,06:13 11/05/2017,OK
AA038,\\192.168.2.57\Config\RS232C\EH10Z_SerialPortConfig.csv,EH10Z_SerialPortConfig.csv,09:51 07/05/2013,OK
AA038,\\192.168.2.57\Config\RS232C\EmountToolConfig.csv,EmountToolConfig.csv,11:22 20/07/2018,OK
AA038,\\192.168.2.57\Config\RS232C\IAI_SerialPortConfig.csv,IAI_SerialPortConfig.csv,09:53 07/05/2013,OK
AA038,\\192.168.2.57\Config\RS232C\IoConfig.csv,IoConfig.csv,09:43 20/02/2018,OK
AA038,\\192.168.2.57\Config\RS232C\IoConfig_singleSol.csv,IoConfig_singleSol.csv,13:32 22/03/2013,OK
AA038,\\192.168.2.57\Config\RS232C\IoSerialConfig.csv,IoSerialConfig.csv,07:39 08/11/2017,OK
AA038,\\192.168.2.57\Config\RS232C\IrisAddressConfig.csv,IrisAddressConfig.csv,09:26 05/07/2018,OK
AA038,\\192.168.2.57\Config\RS232C\IrisAddressConfig_CP.csv,IrisAddressConfig_CP.csv,13:30 24/02/2016,OK
AA038,\\192.168.2.57\Config\RS232C\IrisAddressConfig_EMount.csv,IrisAddressConfig_EMount.csv,09:13 24/02/2016,OK
AA038,\\192.168.2.57\Config\RS232C\IrisAddressConfig_EZ.csv,IrisAddressConfig_EZ.csv,09:59 24/02/2016,OK
AA038,\\192.168.2.57\Config\RS232C\IrisAddressMultiConfig.csv,IrisAddressMultiConfig.csv,10:05 13/10/2017,OK
AA038,\\192.168.2.57\Config\RS232C\MotorConfig.csv,MotorConfig.csv,10:17 02/09/2019,OK
AA038,\\192.168.2.57\Config\RS232C\MotorInitializeTurnConfig.csv,MotorInitializeTurnConfig.csv,07:51 08/11/2017,OK
AA038,\\192.168.2.57\Config\RS232C\MotorTeachingPosition.csv,MotorTeachingPosition.csv,15:16 18/05/2017,OK
AA038,\\192.168.2.57\Config\RS232C\MtrSerialConfig.csv,MtrSerialConfig.csv,07:51 25/06/2018,OK
AA038,\\192.168.2.57\Config\RS232C\TempMeterConfig.csv,TempMeterConfig.csv,06:48 26/08/2013,OK
AA038,\\192.168.2.57\Config\RS232C\TwoDimCodeConfig.csv,TwoDimCodeConfig.csv,14:12 18/04/2017,OK
AA038,\\192.168.2.57\Config\RS232C\TwoDimCodeSerialConfig.csv,TwoDimCodeSerialConfig.csv,13:58 18/04/2017,OK
AA038,\\192.168.2.57\Config\RS232C\UndaiConfig.csv,UndaiConfig.csv,13:16 19/08/2013,OK
AA038,\\192.168.2.57\Config\RS232C\Undai_SerialPortConfig.csv,Undai_SerialPortConfig.csv,13:32 22/03/2013,OK
AA038,\\192.168.2.57\Config\Alignment\AlignmentFlow00\AlignmentModeConfig.csv,AlignmentModeConfig.csv,06:40 07/05/2018,OK
AA038,\\192.168.2.57\Config\Alignment\AlignmentFlow00\BranchConfig.csv,BranchConfig.csv,09:00 21/09/2018,OK
AA038,\\192.168.2.57\Config\Alignment\AlignmentFlow01\AlignmentModeConfig.csv,AlignmentModeConfig.csv,14:53 11/10/2018,OK
AA038,\\192.168.2.57\Config\Alignment\AlignmentFlow01\BranchConfig.csv,BranchConfig.csv,09:00 21/09/2018,OK
AA038,\\192.168.2.57\Config\Alignment\AlignmentFlow02\AlignmentModeConfig.csv,AlignmentModeConfig.csv,08:15 11/09/2018,OK
AA038,\\192.168.2.57\Config\Alignment\AlignmentFlow02\BranchConfig.csv,BranchConfig.csv,08:59 21/09/2018,OK
AA038,\\192.168.2.57\Config\Alignment\AlignmentFlow03\AlignmentModeConfig.csv,AlignmentModeConfig.csv,08:17 11/09/2018,OK
AA038,\\192.168.2.57\Config\Alignment\AlignmentFlow03\BranchConfig.csv,BranchConfig.csv,08:59 21/09/2018,OK
AA038,\\192.168.2.57\Config\Alignment\AlignmentFlow04\AlignmentModeConfig.csv,AlignmentModeConfig.csv,06:40 07/05/2018,OK
AA038,\\192.168.2.57\Config\Alignment\AlignmentFlow04\BranchConfig.csv,BranchConfig.csv,08:59 21/09/2018,OK
AA038,\\192.168.2.57\Config\Alignment\AlignmentFlow05\AlignmentModeConfig.csv,AlignmentModeConfig.csv,06:40 07/05/2018,OK
AA038,\\192.168.2.57\Config\Alignment\AlignmentFlow05\BranchConfig.csv,BranchConfig.csv,13:23 04/01/2021,OK
AA038,\\192.168.2.57\Config\Camera\200mm\cameraMeasConfig.csv,cameraMeasConfig.csv,11:38 19/02/2018,OK
AA038,\\192.168.2.57\Config\Camera\200mm\camSerials.csv,camSerials.csv,11:38 19/02/2018,OK
AA038,\\192.168.2.57\Config\Camera\Pos0_400mm\cameraMeasConfig.csv,cameraMeasConfig.csv,12:28 30/08/2018,OK
AA038,\\192.168.2.57\Config\Camera\Pos0_400mm\camSerials.csv,camSerials.csv,07:23 14/08/2019,OK
AA038,\\192.168.2.57\Config\Camera\Pos1_600mm\cameraMeasConfig.csv,cameraMeasConfig.csv,11:38 19/02/2018,OK
AA038,\\192.168.2.57\Config\Camera\Pos1_600mm\camSerials.csv,camSerials.csv,07:25 14/08/2019,OK
AA038,\\192.168.2.57\Config\CameraCL\CameraParam\camSerials.csv,camSerials.csv,07:14 16/03/2017,OK
AA038,\\192.168.2.57\Config\CameraCL\CameraParam\videoModeConfig.csv,videoModeConfig.csv,08:30 14/11/2017,OK
AA038,\\192.168.2.57\Config\Flare\200mm\flareViewerConfig.csv,flareViewerConfig.csv,11:41 19/11/2015,OK
AA038,\\192.168.2.57\Config\Flare\Pos0_400mm\flareViewerConfig.csv,flareViewerConfig.csv,09:57 22/09/2018,OK
