FilePath,FileName,DateCreate,DateModify,Status
AA038,\\192.168.2.57\d3\22年04月01日_d3,T-MTF_2022.04.01_d3.csv,2022.04.01,01/04/2022,OK
AA038,\\192.168.2.57\d3\22年04月02日_d3,T-MTF_2022.04.02_d3.csv,2022.04.02,02/04/2022,OK
AA038,\\192.168.2.57\d3\22年04月05日_d3,T-MTF_2022.04.05_d3.csv,2022.04.05,05/04/2022,OK
AA038,\\192.168.2.57\d3\22年04月06日_d3,T-MTF_2022.04.06_d3.csv,2022.04.06,06/04/2022,OK
AA038,\\192.168.2.57\d3\22年04月07日_d3,T-MTF_2022.04.07_d3.csv,2022.04.07,07/04/2022,OK
AA038,\\192.168.2.57\d3\22年04月08日_d3,T-MTF_2022.04.08_d3.csv,2022.04.08,08/04/2022,OK
AA038,\\192.168.2.57\d3\22年04月09日_d3,T-MTF_2022.04.09_d3.csv,2022.04.09,09/04/2022,OK
AA038,\\192.168.2.57\d3\22年04月12日_d3,T-MTF_2022.04.12_d3.csv,2022.04.12,12/04/2022,OK
AA038,\\192.168.2.57\d3\22年04月13日_d3,T-MTF_2022.04.13_d3.csv,2022.04.13,13/04/2022,OK
AA038,\\192.168.2.57\d3\22年04月14日_d3,T-MTF_2022.04.14_d3.csv,2022.04.14,14/04/2022,OK
AA038,\\192.168.2.57\d3\22年04月15日_d3,T-MTF_2022.04.15_d3.csv,2022.04.15,15/04/2022,OK
AA038,\\192.168.2.57\d3\22年04月16日_d3,T-MTF_2022.04.16_d3.csv,2022.04.16,16/04/2022,OK
AA038,\\192.168.2.57\d3\22年04月18日_d3,T-MTF_2022.04.18_d3.csv,2022.04.18,18/04/2022,OK
AA038,\\192.168.2.57\d3\22年04月19日_d3,T-MTF_2022.04.19_d3.csv,2022.04.19,19/04/2022,OK
AA038,\\192.168.2.57\d3\22年04月20日_d3,T-MTF_2022.04.20_d3.csv,2022.04.20,20/04/2022,OK
AA038,\\192.168.2.57\d3\22年04月21日_d3,T-MTF_2022.04.21_d3.csv,2022.04.21,21/04/2022,OK
AA038,\\192.168.2.57\d3\22年04月22日_d3,T-MTF_2022.04.22_d3.csv,2022.04.22,22/04/2022,OK
AA038,\\192.168.2.57\d3\22年04月23日_d3,T-MTF_2022.04.23_d3.csv,2022.04.23,23/04/2022,OK
AA038,\\192.168.2.57\d3\22年04月25日_d3,T-MTF_2022.04.25_d3.csv,2022.04.25,25/04/2022,OK
AA038,\\192.168.2.57\d3\22年04月26日_d3,T-MTF_2022.04.26_d3.csv,2022.04.26,26/04/2022,OK
