FilePath,FileName,DateCreate,DateModify,Status
AA038,\\192.168.2.101\d3\23年05月03日_d3,T-MTF_2023.05.03_d3.csv,2023.05.03,03/05/2023,OK
AA038,\\192.168.2.101\d3\23年05月04日_d3,T-MTF_2023.05.04_d3.csv,2023.05.04,04/05/2023,OK
AA038,\\192.168.2.101\d3\23年05月05日_d3,T-MTF_2023.05.05_d3.csv,2023.05.05,05/05/2023,OK
AA038,\\192.168.2.101\d3\23年05月06日_d3,T-MTF_2023.05.06_d3.csv,2023.05.06,06/05/2023,OK
AA038,\\192.168.2.101\d3\23年05月08日_d3,T-MTF_2023.05.08_d3.csv,2023.05.08,08/05/2023,OK
AA038,\\192.168.2.101\d3\23年05月09日_d3,T-MTF_2023.05.09_d3.csv,2023.05.09,09/05/2023,OK
AA038,\\192.168.2.101\d3\23年05月10日_d3,T-MTF_2023.05.10_d3.csv,2023.05.10,10/05/2023,OK
AA038,\\192.168.2.101\d3\23年05月11日_d3,T-MTF_2023.05.11_d3.csv,2023.05.11,11/05/2023,OK
AA038,\\192.168.2.101\d3\23年05月12日_d3,T-MTF_2023.05.12_d3.csv,2023.05.12,12/05/2023,OK
AA038,\\192.168.2.101\d3\23年05月14日_d3,T-MTF_2023.05.14_d3.csv,2023.05.14,14/05/2023,OK
AA038,\\192.168.2.101\d3\23年05月15日_d3,T-MTF_2023.05.15_d3.csv,2023.05.15,15/05/2023,OK
AA038,\\192.168.2.101\d3\23年05月16日_d3,T-MTF_2023.05.16_d3.csv,2023.05.16,16/05/2023,OK
AA038,\\192.168.2.101\d3\23年05月17日_d3,T-MTF_2023.05.17_d3.csv,2023.05.17,17/05/2023,OK
AA038,\\192.168.2.101\d3\23年05月18日_d3,T-MTF_2023.05.18_d3.csv,2023.05.18,18/05/2023,OK
AA038,\\192.168.2.101\d3\23年05月19日_d3,T-MTF_2023.05.19_d3.csv,2023.05.19,19/05/2023,OK
AA038,\\192.168.2.101\d3\23年05月20日_d3,T-MTF_2023.05.20_d3.csv,2023.05.20,20/05/2023,OK
