 FilePath,FileName,DateModify,Status
AA046B,\\192.168.2.229\Config\Configver.csv,Configver.csv,07:59 18/05/2022,OK
AA046B,\\192.168.2.229\Config\Alignment\AlignmentModeConfig.csv,AlignmentModeConfig.csv,07:56 18/05/2022,OK
AA046B,\\192.168.2.229\Config\CameraCL\CameraConfig.csv,CameraConfig.csv,07:56 18/05/2022,OK
AA046B,\\192.168.2.229\Config\General\measContainerNum.csv,measContainerNum.csv,07:56 18/05/2022,OK
AA046B,\\192.168.2.229\Config\General\measPosName.csv,measPosName.csv,07:56 18/05/2022,OK
AA046B,\\192.168.2.229\Config\General\SystemInfo.csv,SystemInfo.csv,07:56 18/05/2022,OK
AA046B,\\192.168.2.229\Config\MdDataSet\FocusShiftJudgement.csv,FocusShiftJudgement.csv,07:56 18/05/2022,OK
AA046B,\\192.168.2.229\Config\MdDataSetSP\RankInfo.csv,RankInfo.csv,07:56 18/05/2022,OK
AA046B,\\192.168.2.229\Config\MdDataSet_QA\FocusShiftJudgement.csv,FocusShiftJudgement.csv,07:56 18/05/2022,OK
AA046B,\\192.168.2.229\Config\ProcessControl\LensProc.csv,LensProc.csv,07:56 18/05/2022,OK
AA046B,\\192.168.2.229\Config\ProcessControl\ProcCtr.csv,ProcCtr.csv,07:56 18/05/2022,OK
AA046B,\\192.168.2.229\Config\ProcessControl_Align\LensProc.csv,LensProc.csv,07:56 18/05/2022,OK
AA046B,\\192.168.2.229\Config\ProcessControl_Align\ProcCtr.csv,ProcCtr.csv,07:56 18/05/2022,OK
AA046B,\\192.168.2.229\Config\ProcessControl_Align\WriteFlg--.csv,WriteFlg--.csv,07:56 18/05/2022,OK
AA046B,\\192.168.2.229\Config\RS232C\CoordConfig.csv,CoordConfig.csv,07:56 18/05/2022,OK
AA046B,\\192.168.2.229\Config\RS232C\DJBoardSerialConfig.csv,DJBoardSerialConfig.csv,07:56 18/05/2022,OK
AA046B,\\192.168.2.229\Config\RS232C\EH10Z_SerialPortConfig.csv,EH10Z_SerialPortConfig.csv,07:56 18/05/2022,OK
AA046B,\\192.168.2.229\Config\RS232C\EmountToolConfig.csv,EmountToolConfig.csv,07:56 18/05/2022,OK
AA046B,\\192.168.2.229\Config\RS232C\IAI_SerialPortConfig.csv,IAI_SerialPortConfig.csv,07:56 18/05/2022,OK
AA046B,\\192.168.2.229\Config\RS232C\IoConfig.csv,IoConfig.csv,07:56 18/05/2022,OK
AA046B,\\192.168.2.229\Config\RS232C\IoConfig_singleSol.csv,IoConfig_singleSol.csv,07:56 18/05/2022,OK
