 FilePath,FileName,DateModify,Status
AA056SF,\\192.168.1.168\Config\Alignment\AlignmentModeConfig.csv,AlignmentModeConfig.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\CameraCL\CameraConfig.csv,CameraConfig.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\General\measContainerNum.csv,measContainerNum.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\General\measPosName.csv,measPosName.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\General\SystemInfo.csv,SystemInfo.csv,16:25 20/03/2023,OK
AA056SF,\\192.168.1.168\Config\MdDataSet\FocusShiftJudgement.csv,FocusShiftJudgement.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\MdDataSetSP\RankInfo.csv,RankInfo.csv,13:35 16/01/2020,OK
AA056SF,\\192.168.1.168\Config\ProcessControl\LensProc.csv,LensProc.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\ProcessControl\ProcCtr.csv,ProcCtr.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\RS232C\CoordConfig.csv,CoordConfig.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\RS232C\CSmcConfig.csv,CSmcConfig.csv,13:23 29/10/2019,OK
AA056SF,\\192.168.1.168\Config\RS232C\DJBoardSerialConfig.csv,DJBoardSerialConfig.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\RS232C\EH10Z_SerialPortConfig.csv,EH10Z_SerialPortConfig.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\RS232C\EmountToolConfig.csv,EmountToolConfig.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\RS232C\IAI_SerialPortConfig.csv,IAI_SerialPortConfig.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\RS232C\IoConfig.csv,IoConfig.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\RS232C\IoConfig_singleSol.csv,IoConfig_singleSol.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\RS232C\IoSerialConfig.csv,IoSerialConfig.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\RS232C\IrisAddressConfig.csv,IrisAddressConfig.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\RS232C\IrisAddressConfig_CP.csv,IrisAddressConfig_CP.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\RS232C\IrisAddressConfig_EMount.csv,IrisAddressConfig_EMount.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\RS232C\IrisAddressConfig_EZ.csv,IrisAddressConfig_EZ.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\RS232C\IrisAddressMultiConfig.csv,IrisAddressMultiConfig.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\RS232C\MotorConfig.csv,MotorConfig.csv,05:38 10/12/2021,OK
AA056SF,\\192.168.1.168\Config\RS232C\MotorInitializeTurnConfig.csv,MotorInitializeTurnConfig.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\RS232C\MotorTeachingPosition.csv,MotorTeachingPosition.csv,12:39 18/12/2019,OK
AA056SF,\\192.168.1.168\Config\RS232C\MtrSerialConfig.csv,MtrSerialConfig.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\RS232C\TempMeterConfig.csv,TempMeterConfig.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\RS232C\TwoDimCodeConfig.csv,TwoDimCodeConfig.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\RS232C\TwoDimCodeSerialConfig.csv,TwoDimCodeSerialConfig.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\RS232C\UndaiConfig.csv,UndaiConfig.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\RS232C\Undai_SerialPortConfig.csv,Undai_SerialPortConfig.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\Alignment\Alignment0\AlignmentConfig0.csv,AlignmentConfig0.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\Alignment\Alignment0\AlignmentConfig1.csv,AlignmentConfig1.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\Alignment\Alignment0\AlignmentConfig2.csv,AlignmentConfig2.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\Alignment\Alignment1\AlignmentConfig0.csv,AlignmentConfig0.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\Alignment\Alignment1\AlignmentConfig1.csv,AlignmentConfig1.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\Alignment\Alignment1\AlignmentConfig2.csv,AlignmentConfig2.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\Alignment\Alignment2\AlignmentConfig0.csv,AlignmentConfig0.csv,18:58 24/10/2019,OK
AA056SF,\\192.168.1.168\Config\Alignment\Alignment3\AlignmentConfig0.csv,AlignmentConfig0.csv,12:12 18/10/2019,OK
AA056SF,\\192.168.1.168\Config\Alignment\Alignment4\AlignmentConfig0.csv,AlignmentConfig0.csv,12:12 18/10/2019,OK
