FilePath,FileName,DateCreate,DateModify,Status
AA057S,\\192.168.2.222\d3s\23年04月10日_d3,T-MTF_2023.04.10_d3.csv,2023.04.10,10/04/2023,OK
AA057S,\\192.168.2.222\d3s\23年04月11日_d3,T-MTF_2023.04.11_d3.csv,2023.04.11,11/04/2023,OK
AA057S,\\192.168.2.222\d3s\23年04月12日_d3,T-MTF_2023.04.12_d3.csv,2023.04.12,12/04/2023,OK
AA057S,\\192.168.2.222\d3s\23年04月13日_d3,T-MTF_2023.04.13_d3.csv,2023.04.13,13/04/2023,OK
AA057S,\\192.168.2.222\d3s\23年04月14日_d3,T-MTF_2023.04.14_d3.csv,2023.04.14,14/04/2023,OK
AA057S,\\192.168.2.222\d3s\23年04月15日_d3,T-MTF_2023.04.15_d3.csv,2023.04.15,15/04/2023,OK
AA057S,\\192.168.2.222\d3s\23年04月17日_d3,T-MTF_2023.04.17_d3.csv,2023.04.17,17/04/2023,OK
AA057S,\\192.168.2.222\d3s\23年04月18日_d3,T-MTF_2023.04.18_d3.csv,2023.04.18,18/04/2023,OK
AA057S,\\192.168.2.222\d3s\23年04月19日_d3,T-MTF_2023.04.19_d3.csv,2023.04.19,19/04/2023,OK
AA057S,\\192.168.2.222\d3s\23年04月20日_d3,T-MTF_2023.04.20_d3.csv,2023.04.20,20/04/2023,OK
AA057S,\\192.168.2.222\d3s\23年04月21日_d3,T-MTF_2023.04.21_d3.csv,2023.04.21,21/04/2023,OK
AA057S,\\192.168.2.222\d3s\23年04月24日_d3,T-MTF_2023.04.24_d3.csv,2023.04.24,24/04/2023,OK
AA057S,\\192.168.2.222\d3s\23年04月25日_d3,T-MTF_2023.04.25_d3.csv,2023.04.25,25/04/2023,OK
AA057S,\\192.168.2.222\d3s\23年04月26日_d3,T-MTF_2023.04.26_d3.csv,2023.04.26,26/04/2023,OK
AA057S,\\192.168.2.222\d3s\23年04月27日_d3,T-MTF_2023.04.27_d3.csv,2023.04.27,27/04/2023,OK
AA057S,\\192.168.2.222\d3s\23年04月28日_d3,T-MTF_2023.04.28_d3.csv,2023.04.28,28/04/2023,OK
