 FilePath,FileName,DateModify,Status
AA057Z,\\192.168.2.222\Configz\VersionConfig.csv,VersionConfig.csv,17:23 15/03/2023,OK
AA057Z,\\192.168.2.222\Configz\Alignment\AlignmentModeConfig.csv,AlignmentModeConfig.csv,08:43 25/11/2020,OK
AA057Z,\\192.168.2.222\Configz\CameraCL\CameraConfig.csv,CameraConfig.csv,09:43 11/06/2020,OK
AA057Z,\\192.168.2.222\Configz\Cpk\CpkInfo.csv,CpkInfo.csv,08:48 02/06/2021,OK
AA057Z,\\192.168.2.222\Configz\General\measContainerNum.csv,measContainerNum.csv,08:25 10/06/2020,OK
AA057Z,\\192.168.2.222\Configz\General\measPosName.csv,measPosName.csv,08:24 10/06/2020,OK
AA057Z,\\192.168.2.222\Configz\General\SystemInfo.csv,SystemInfo.csv,12:55 20/03/2023,OK
AA057Z,\\192.168.2.222\Configz\MdDataSet\FocusShiftJudgement.csv,FocusShiftJudgement.csv,06:38 16/02/2021,OK
AA057Z,\\192.168.2.222\Configz\MdDataSetSP\RankInfo.csv,RankInfo.csv,09:04 17/03/2021,OK
AA057Z,\\192.168.2.222\Configz\MdDataSet_QA\FocusShiftJudgement.csv,FocusShiftJudgement.csv,12:02 12/01/2021,OK
AA057Z,\\192.168.2.222\Configz\ProcessControl\LensProc.csv,LensProc.csv,12:57 06/07/2020,OK
AA057Z,\\192.168.2.222\Configz\ProcessControl\ProcCtr.csv,ProcCtr.csv,12:51 06/07/2020,OK
AA057Z,\\192.168.2.222\Configz\RS232C\CoordConfig.csv,CoordConfig.csv,11:32 22/03/2013,OK
AA057Z,\\192.168.2.222\Configz\RS232C\CSmcConfig.csv,CSmcConfig.csv,07:56 25/02/2020,OK
AA057Z,\\192.168.2.222\Configz\RS232C\CSmcSpeedConfig.csv,CSmcSpeedConfig.csv,05:00 27/02/2020,OK
AA057Z,\\192.168.2.222\Configz\RS232C\DJBoardSerialConfig.csv,DJBoardSerialConfig.csv,04:13 11/05/2017,OK
AA057Z,\\192.168.2.222\Configz\RS232C\EH10Z_SerialPortConfig.csv,EH10Z_SerialPortConfig.csv,07:51 07/05/2013,OK
AA057Z,\\192.168.2.222\Configz\RS232C\EmountToolConfig.csv,EmountToolConfig.csv,09:00 24/02/2016,OK
AA057Z,\\192.168.2.222\Configz\RS232C\IAI_SerialPortConfig.csv,IAI_SerialPortConfig.csv,07:53 07/05/2013,OK
AA057Z,\\192.168.2.222\Configz\RS232C\IoConfig.csv,IoConfig.csv,06:57 11/06/2020,OK
AA057Z,\\192.168.2.222\Configz\RS232C\IoConfig_singleSol.csv,IoConfig_singleSol.csv,11:32 22/03/2013,OK
AA057Z,\\192.168.2.222\Configz\RS232C\IoSerialConfig.csv,IoSerialConfig.csv,08:13 11/06/2020,OK
AA057Z,\\192.168.2.222\Configz\RS232C\IrisAddressConfig.csv,IrisAddressConfig.csv,09:25 31/10/2016,OK
AA057Z,\\192.168.2.222\Configz\RS232C\IrisAddressConfig_CP.csv,IrisAddressConfig_CP.csv,11:30 24/02/2016,OK
AA057Z,\\192.168.2.222\Configz\RS232C\IrisAddressConfig_EMount.csv,IrisAddressConfig_EMount.csv,07:13 24/02/2016,OK
AA057Z,\\192.168.2.222\Configz\RS232C\IrisAddressConfig_EZ.csv,IrisAddressConfig_EZ.csv,07:59 24/02/2016,OK
AA057Z,\\192.168.2.222\Configz\RS232C\IrisAddressMultiConfig.csv,IrisAddressMultiConfig.csv,10:13 03/02/2021,OK
AA057Z,\\192.168.2.222\Configz\RS232C\MotorConfig.csv,MotorConfig.csv,15:36 08/03/2023,OK
AA057Z,\\192.168.2.222\Configz\RS232C\MotorInitializeTurnConfig.csv,MotorInitializeTurnConfig.csv,09:42 06/01/2015,OK
AA057Z,\\192.168.2.222\Configz\RS232C\MotorTeachingPosition.csv,MotorTeachingPosition.csv,08:24 15/02/2021,OK
AA057Z,\\192.168.2.222\Configz\RS232C\MtrSerialConfig.csv,MtrSerialConfig.csv,06:44 29/06/2020,OK
