 FilePath,FileName,DateModify,Status
AA062S,\\192.168.2.165\Config\VersionConfig.csv,VersionConfig.csv,20:01 11/01/2023,OK
AA062S,\\192.168.2.165\Config\Alignment\AlignmentModeConfig.csv,AlignmentModeConfig.csv,12:08 19/08/2022,OK
AA062S,\\192.168.2.165\Config\CameraCL\CameraConfig.csv,CameraConfig.csv,13:43 06/12/2021,OK
AA062S,\\192.168.2.165\Config\Cpk\CpkInfo.csv,CpkInfo.csv,15:51 27/06/2022,OK
AA062S,\\192.168.2.165\Config\General\measContainerNum.csv,measContainerNum.csv,10:28 28/06/2022,OK
AA062S,\\192.168.2.165\Config\General\measPosName.csv,measPosName.csv,13:43 06/12/2021,OK
AA062S,\\192.168.2.165\Config\General\SystemInfo.csv,SystemInfo.csv,07:47 01/04/2022,OK
AA062S,\\192.168.2.165\Config\MdDataSet\FocusShiftJudgement.csv,FocusShiftJudgement.csv,13:43 06/12/2021,OK
AA062S,\\192.168.2.165\Config\MdDataSetSP\RankInfo.csv,RankInfo.csv,09:32 24/08/2022,OK
AA062S,\\192.168.2.165\Config\MdDataSet_Align\FocusShiftJudgement.csv,FocusShiftJudgement.csv,13:43 06/12/2021,OK
AA062S,\\192.168.2.165\Config\MdDataSet_QA\FocusShiftJudgement.csv,FocusShiftJudgement.csv,12:15 14/03/2022,OK
AA062S,\\192.168.2.165\Config\ProcessControl\LensProc.csv,LensProc.csv,08:34 17/12/2021,OK
AA062S,\\192.168.2.165\Config\ProcessControl\ProcCtr.csv,ProcCtr.csv,13:43 06/12/2021,OK
AA062S,\\192.168.2.165\Config\ProcessControl_Align\LensProc.csv,LensProc.csv,08:34 17/12/2021,OK
AA062S,\\192.168.2.165\Config\ProcessControl_Align\ProcCtr.csv,ProcCtr.csv,13:43 06/12/2021,OK
AA062S,\\192.168.2.165\Config\RS232C\ArduinoSerialConfig.csv,ArduinoSerialConfig.csv,12:32 25/03/2022,OK
AA062S,\\192.168.2.165\Config\RS232C\CoordConfig.csv,CoordConfig.csv,13:43 06/12/2021,OK
AA062S,\\192.168.2.165\Config\RS232C\CSmcConfig.csv,CSmcConfig.csv,13:43 06/12/2021,OK
AA062S,\\192.168.2.165\Config\RS232C\CSmcSpeedConfig.csv,CSmcSpeedConfig.csv,13:43 06/12/2021,OK
AA062S,\\192.168.2.165\Config\RS232C\DJBoardSerialConfig.csv,DJBoardSerialConfig.csv,13:43 06/12/2021,OK
AA062S,\\192.168.2.165\Config\RS232C\EH10Z_SerialPortConfig.csv,EH10Z_SerialPortConfig.csv,13:43 06/12/2021,OK
AA062S,\\192.168.2.165\Config\RS232C\EmountToolConfig.csv,EmountToolConfig.csv,13:43 06/12/2021,OK
AA062S,\\192.168.2.165\Config\RS232C\IAI_SerialPortConfig.csv,IAI_SerialPortConfig.csv,13:43 06/12/2021,OK
AA062S,\\192.168.2.165\Config\RS232C\IoConfig.csv,IoConfig.csv,13:45 29/03/2022,OK
AA062S,\\192.168.2.165\Config\RS232C\IoConfig_singleSol.csv,IoConfig_singleSol.csv,06:58 09/12/2021,OK
AA062S,\\192.168.2.165\Config\RS232C\IoSerialConfig.csv,IoSerialConfig.csv,06:38 09/12/2021,OK
AA062S,\\192.168.2.165\Config\RS232C\IrisAddressConfig.csv,IrisAddressConfig.csv,13:43 06/12/2021,OK
AA062S,\\192.168.2.165\Config\RS232C\IrisAddressConfig_CP.csv,IrisAddressConfig_CP.csv,13:43 06/12/2021,OK
AA062S,\\192.168.2.165\Config\RS232C\IrisAddressConfig_EMount.csv,IrisAddressConfig_EMount.csv,13:43 06/12/2021,OK
AA062S,\\192.168.2.165\Config\RS232C\IrisAddressConfig_EZ.csv,IrisAddressConfig_EZ.csv,13:43 06/12/2021,OK
AA062S,\\192.168.2.165\Config\RS232C\IrisAddressMultiConfig.csv,IrisAddressMultiConfig.csv,13:43 06/12/2021,OK
AA062S,\\192.168.2.165\Config\RS232C\MotorConfig.csv,MotorConfig.csv,08:35 04/02/2023,OK
