 FilePath,FileName,DateModify,Status
AAF050S,\\192.168.2.94\Config50\Alignment\AlignmentModeConfig.csv,AlignmentModeConfig.csv,15:44 16/07/2019,OK
AAF050S,\\192.168.2.94\Config50\CameraCL\CameraConfig.csv,CameraConfig.csv,17:04 05/04/2019,OK
AAF050S,\\192.168.2.94\Config50\General\measContainerNum.csv,measContainerNum.csv,11:00 05/04/2019,OK
AAF050S,\\192.168.2.94\Config50\General\measPosName.csv,measPosName.csv,11:00 05/04/2019,OK
AAF050S,\\192.168.2.94\Config50\General\SystemInfo.csv,SystemInfo.csv,19:27 16/09/2019,OK
AAF050S,\\192.168.2.94\Config50\MdDataSet\FocusShiftJudgement.csv,FocusShiftJudgement.csv,11:47 05/04/2019,OK
AAF050S,\\192.168.2.94\Config50\MdDataSetSP\RankInfo.csv,RankInfo.csv,13:09 05/09/2019,OK
AAF050S,\\192.168.2.94\Config50\MdDataSet_QA\FocusShiftJudgement.csv,FocusShiftJudgement.csv,09:47 05/04/2019,OK
AAF050S,\\192.168.2.94\Config50\ProcessControl\LensProc.csv,LensProc.csv,12:16 01/10/2019,OK
AAF050S,\\192.168.2.94\Config50\ProcessControl\ProcCtr.csv,ProcCtr.csv,15:17 28/09/2018,OK
AAF050S,\\192.168.2.94\Config50\RS232C\CoordConfig.csv,CoordConfig.csv,15:17 28/09/2018,OK
AAF050S,\\192.168.2.94\Config50\RS232C\DJBoardSerialConfig.csv,DJBoardSerialConfig.csv,15:17 28/09/2018,OK
AAF050S,\\192.168.2.94\Config50\RS232C\EH10Z_SerialPortConfig.csv,EH10Z_SerialPortConfig.csv,15:17 28/09/2018,OK
AAF050S,\\192.168.2.94\Config50\RS232C\EmountToolConfig.csv,EmountToolConfig.csv,15:17 28/09/2018,OK
AAF050S,\\192.168.2.94\Config50\RS232C\IAI_SerialPortConfig.csv,IAI_SerialPortConfig.csv,15:17 28/09/2018,OK
AAF050S,\\192.168.2.94\Config50\RS232C\IoConfig.csv,IoConfig.csv,15:17 28/09/2018,OK
AAF050S,\\192.168.2.94\Config50\RS232C\IoConfig_singleSol.csv,IoConfig_singleSol.csv,15:17 28/09/2018,OK
AAF050S,\\192.168.2.94\Config50\RS232C\IoSerialConfig.csv,IoSerialConfig.csv,15:17 28/09/2018,OK
AAF050S,\\192.168.2.94\Config50\RS232C\IrisAddressConfig.csv,IrisAddressConfig.csv,15:17 28/09/2018,OK
AAF050S,\\192.168.2.94\Config50\RS232C\IrisAddressConfig_CP.csv,IrisAddressConfig_CP.csv,15:17 28/09/2018,OK
AAF050S,\\192.168.2.94\Config50\RS232C\IrisAddressConfig_EMount.csv,IrisAddressConfig_EMount.csv,15:17 28/09/2018,OK
AAF050S,\\192.168.2.94\Config50\RS232C\IrisAddressConfig_EZ.csv,IrisAddressConfig_EZ.csv,15:17 28/09/2018,OK
AAF050S,\\192.168.2.94\Config50\RS232C\IrisAddressMultiConfig.csv,IrisAddressMultiConfig.csv,19:49 16/09/2019,OK
AAF050S,\\192.168.2.94\Config50\RS232C\MotorConfig.csv,MotorConfig.csv,20:43 29/10/2019,OK
AAF050S,\\192.168.2.94\Config50\RS232C\MotorInitializeTurnConfig.csv,MotorInitializeTurnConfig.csv,15:17 28/09/2018,OK
AAF050S,\\192.168.2.94\Config50\RS232C\MotorTeachingPosition.csv,MotorTeachingPosition.csv,23:22 26/04/2019,OK
AAF050S,\\192.168.2.94\Config50\RS232C\MtrSerialConfig.csv,MtrSerialConfig.csv,16:51 27/04/2019,OK
AAF050S,\\192.168.2.94\Config50\RS232C\TempMeterConfig.csv,TempMeterConfig.csv,09:52 07/04/2023,OK
AAF050S,\\192.168.2.94\Config50\RS232C\TwoDimCodeConfig.csv,TwoDimCodeConfig.csv,15:17 28/09/2018,OK
AAF050S,\\192.168.2.94\Config50\RS232C\TwoDimCodeSerialConfig.csv,TwoDimCodeSerialConfig.csv,15:17 28/09/2018,OK
AAF050S,\\192.168.2.94\Config50\RS232C\UndaiConfig.csv,UndaiConfig.csv,15:17 28/09/2018,OK
AAF050S,\\192.168.2.94\Config50\RS232C\Undai_SerialPortConfig.csv,Undai_SerialPortConfig.csv,15:17 28/09/2018,OK
AAF050S,\\192.168.2.94\Config50\Alignment\Alignment0\AlignmentConfig0.csv,AlignmentConfig0.csv,08:59 10/04/2019,OK
AAF050S,\\192.168.2.94\Config50\Alignment\Alignment1\AlignmentConfig0.csv,AlignmentConfig0.csv,14:36 10/07/2019,OK
AAF050S,\\192.168.2.94\Config50\Alignment\Alignment1\AlignmentConfig1.csv,AlignmentConfig1.csv,14:37 10/07/2019,OK
AAF050S,\\192.168.2.94\Config50\Alignment\Alignment2\AlignmentConfig0.csv,AlignmentConfig0.csv,09:03 10/04/2019,OK
AAF050S,\\192.168.2.94\Config50\Alignment\Alignment3\AlignmentConfig0.csv,AlignmentConfig0.csv,15:19 25/06/2019,OK
AAF050S,\\192.168.2.94\Config50\Alignment\Alignment4\AlignmentConfig0.csv,AlignmentConfig0.csv,09:02 10/04/2019,OK
AAF050S,\\192.168.2.94\Config50\Alignment\Alignment5\AlignmentConfig0.csv,AlignmentConfig0.csv,16:21 19/08/2019,OK
