 FilePath,FileName,DateModify,Status
AB028E,\\192.168.2.213\Confige\Alignment\AlignmentModeConfig.csv,AlignmentModeConfig.csv,06:27 16/02/2017,OK
AB028E,\\192.168.2.213\Confige\General\measContainerNum.csv,measContainerNum.csv,12:02 28/11/2016,OK
AB028E,\\192.168.2.213\Confige\General\measPosName.csv,measPosName.csv,12:02 28/11/2016,OK
AB028E,\\192.168.2.213\Confige\General\SystemInfo.csv,SystemInfo.csv,10:32 22/05/2018,OK
AB028E,\\192.168.2.213\Confige\MdDataSet\FocusShiftJudgement.csv,FocusShiftJudgement.csv,13:18 19/10/2016,OK
AB028E,\\192.168.2.213\Confige\MdDataSetSP\RankInfo.csv,RankInfo.csv,14:18 06/04/2017,OK
AB028E,\\192.168.2.213\Confige\ProcessControl\LensProc.csv,LensProc.csv,16:31 08/12/2016,OK
AB028E,\\192.168.2.213\Confige\ProcessControl\ProcCtr.csv,ProcCtr.csv,15:15 26/11/2015,OK
AB028E,\\192.168.2.213\Confige\RS232C\CoordConfig.csv,CoordConfig.csv,13:32 22/03/2013,OK
AB028E,\\192.168.2.213\Confige\RS232C\EH10Z_SerialPortConfig.csv,EH10Z_SerialPortConfig.csv,09:51 07/05/2013,OK
AB028E,\\192.168.2.213\Confige\RS232C\EmountToolConfig.csv,EmountToolConfig.csv,11:00 24/02/2016,OK
AB028E,\\192.168.2.213\Confige\RS232C\IAI_SerialPortConfig.csv,IAI_SerialPortConfig.csv,09:53 07/05/2013,OK
AB028E,\\192.168.2.213\Confige\RS232C\IoConfig.csv,IoConfig.csv,11:36 18/11/2016,OK
AB028E,\\192.168.2.213\Confige\RS232C\IoConfig_singleSol.csv,IoConfig_singleSol.csv,13:32 22/03/2013,OK
AB028E,\\192.168.2.213\Confige\RS232C\IoSerialConfig.csv,IoSerialConfig.csv,11:47 18/11/2016,OK
AB028E,\\192.168.2.213\Confige\RS232C\IrisAddressConfig.csv,IrisAddressConfig.csv,09:59 24/02/2016,OK
AB028E,\\192.168.2.213\Confige\RS232C\IrisAddressConfig_CP.csv,IrisAddressConfig_CP.csv,13:30 24/02/2016,OK
AB028E,\\192.168.2.213\Confige\RS232C\IrisAddressConfig_EMount.csv,IrisAddressConfig_EMount.csv,09:13 24/02/2016,OK
AB028E,\\192.168.2.213\Confige\RS232C\MotorConfig.csv,MotorConfig.csv,19:08 01/08/2022,OK
AB028E,\\192.168.2.213\Confige\RS232C\MotorInitializeTurnConfig.csv,MotorInitializeTurnConfig.csv,11:42 06/01/2015,OK
AB028E,\\192.168.2.213\Confige\RS232C\MotorTeachingPosition.csv,MotorTeachingPosition.csv,10:47 11/01/2017,OK
AB028E,\\192.168.2.213\Confige\RS232C\MtrSerialConfig.csv,MtrSerialConfig.csv,05:00 01/12/2020,OK
AB028E,\\192.168.2.213\Confige\RS232C\TempMeterConfig.csv,TempMeterConfig.csv,06:48 26/08/2013,OK
AB028E,\\192.168.2.213\Confige\RS232C\UndaiConfig.csv,UndaiConfig.csv,13:16 19/08/2013,OK
AB028E,\\192.168.2.213\Confige\RS232C\Undai_SerialPortConfig.csv,Undai_SerialPortConfig.csv,13:32 22/03/2013,OK
AB028E,\\192.168.2.213\Confige\Alignment\Alignment0\AlignmentConfig0.csv,AlignmentConfig0.csv,11:03 27/01/2017,OK
AB028E,\\192.168.2.213\Confige\Alignment\Alignment0\AlignmentConfig1.csv,AlignmentConfig1.csv,11:03 27/01/2017,OK
AB028E,\\192.168.2.213\Confige\Alignment\Alignment0\AlignmentConfig2.csv,AlignmentConfig2.csv,11:03 27/01/2017,OK
AB028E,\\192.168.2.213\Confige\Alignment\Alignment0\AlignmentConfig3.csv,AlignmentConfig3.csv,08:31 21/03/2017,OK
AB028E,\\192.168.2.213\Confige\Alignment\Alignment1\AlignmentConfig0.csv,AlignmentConfig0.csv,16:01 01/02/2017,OK
AB028E,\\192.168.2.213\Confige\Alignment\Alignment2\AlignmentConfig0.csv,AlignmentConfig0.csv,13:16 18/04/2017,OK
AB028E,\\192.168.2.213\Confige\Alignment\Alignment3\AlignmentConfig0.csv,AlignmentConfig0.csv,13:16 18/04/2017,OK
AB028E,\\192.168.2.213\Confige\Alignment\Alignment3\AlignmentConfig1.csv,AlignmentConfig1.csv,06:30 16/02/2017,OK
AB028E,\\192.168.2.213\Confige\Alignment\Alignment3\AlignmentConfig2.csv,AlignmentConfig2.csv,19:08 01/03/2017,OK
AB028E,\\192.168.2.213\Confige\Alignment\Alignment3\AlignmentConfig3.csv,AlignmentConfig3.csv,06:30 16/02/2017,OK
AB028E,\\192.168.2.213\Confige\Alignment\Alignment4\AlignmentConfig0.csv,AlignmentConfig0.csv,10:41 15/02/2017,OK
AB028E,\\192.168.2.213\Confige\Alignment\Alignment4\AlignmentConfig1.csv,AlignmentConfig1.csv,11:06 27/01/2017,OK
AB028E,\\192.168.2.213\Confige\Alignment\Alignment4\AlignmentConfig2.csv,AlignmentConfig2.csv,11:06 27/01/2017,OK
AB028E,\\192.168.2.213\Confige\Alignment\Alignment4\AlignmentConfig3.csv,AlignmentConfig3.csv,11:06 27/01/2017,OK
