FilePath,FileName,DateCreate,DateModify,Status
AB028E,\\192.168.2.213\d3e\23年04月01日_d3,T-MTF_2023.04.01_d3.csv,2023.04.01,01/04/2023,OK
AB028E,\\192.168.2.213\d3e\23年04月04日_d3,T-MTF_2023.04.04_d3.csv,2023.04.04,04/04/2023,OK
AB028E,\\192.168.2.213\d3e\23年04月05日_d3,T-MTF_2023.04.05_d3.csv,2023.04.05,05/04/2023,OK
AB028E,\\192.168.2.213\d3e\23年04月06日_d3,T-MTF_2023.04.06_d3.csv,2023.04.06,06/04/2023,OK
AB028E,\\192.168.2.213\d3e\23年04月07日_d3,T-MTF_2023.04.07_d3.csv,2023.04.07,07/04/2023,OK
AB028E,\\192.168.2.213\d3e\23年04月15日_d3,T-MTF_2023.04.15_d3.csv,2023.04.15,15/04/2023,OK
AB028E,\\192.168.2.213\d3e\23年04月17日_d3,T-MTF_2023.04.17_d3.csv,2023.04.17,17/04/2023,OK
AB028E,\\192.168.2.213\d3e\23年04月19日_d3,T-MTF_2023.04.19_d3.csv,2023.04.19,19/04/2023,OK
AB028E,\\192.168.2.213\d3e\23年04月22日_d3,T-MTF_2023.04.22_d3.csv,2023.04.22,22/04/2023,OK
AB028E,\\192.168.2.213\d3e\23年04月24日_d3,T-MTF_2023.04.24_d3.csv,2023.04.24,24/04/2023,OK
AB028E,\\192.168.2.213\d3e\23年04月25日_d3,T-MTF_2023.04.25_d3.csv,2023.04.25,25/04/2023,OK
