 FilePath,FileName,DateModify,Status
AB028N,\\192.168.2.213\Confign\Alignment\AlignmentModeConfig.csv,AlignmentModeConfig.csv,07:27 16/02/2017,OK
AB028N,\\192.168.2.213\Confign\General\measContainerNum.csv,measContainerNum.csv,13:02 28/11/2016,OK
AB028N,\\192.168.2.213\Confign\General\measPosName.csv,measPosName.csv,13:02 28/11/2016,OK
AB028N,\\192.168.2.213\Confign\General\SystemInfo.csv,SystemInfo.csv,10:30 10/09/2019,OK
AB028N,\\192.168.2.213\Confign\MdDataSet\FocusShiftJudgement.csv,FocusShiftJudgement.csv,14:18 19/10/2016,OK
AB028N,\\192.168.2.213\Confign\MdDataSetSP\RankInfo.csv,RankInfo.csv,15:18 06/04/2017,OK
AB028N,\\192.168.2.213\Confign\ProcessControl\LensProc.csv,LensProc.csv,17:31 08/12/2016,OK
AB028N,\\192.168.2.213\Confign\ProcessControl\ProcCtr.csv,ProcCtr.csv,16:15 26/11/2015,OK
AB028N,\\192.168.2.213\Confign\RS232C\CoordConfig.csv,CoordConfig.csv,14:32 22/03/2013,OK
AB028N,\\192.168.2.213\Confign\RS232C\EH10Z_SerialPortConfig.csv,EH10Z_SerialPortConfig.csv,10:51 07/05/2013,OK
AB028N,\\192.168.2.213\Confign\RS232C\EmountToolConfig.csv,EmountToolConfig.csv,12:00 24/02/2016,OK
AB028N,\\192.168.2.213\Confign\RS232C\IAI_SerialPortConfig.csv,IAI_SerialPortConfig.csv,10:53 07/05/2013,OK
AB028N,\\192.168.2.213\Confign\RS232C\IoConfig.csv,IoConfig.csv,12:36 18/11/2016,OK
AB028N,\\192.168.2.213\Confign\RS232C\IoConfig_singleSol.csv,IoConfig_singleSol.csv,14:32 22/03/2013,OK
AB028N,\\192.168.2.213\Confign\RS232C\IoSerialConfig.csv,IoSerialConfig.csv,12:47 18/11/2016,OK
AB028N,\\192.168.2.213\Confign\RS232C\IrisAddressConfig.csv,IrisAddressConfig.csv,10:59 24/02/2016,OK
AB028N,\\192.168.2.213\Confign\RS232C\IrisAddressConfig_CP.csv,IrisAddressConfig_CP.csv,14:30 24/02/2016,OK
AB028N,\\192.168.2.213\Confign\RS232C\IrisAddressConfig_EMount.csv,IrisAddressConfig_EMount.csv,10:13 24/02/2016,OK
AB028N,\\192.168.2.213\Confign\RS232C\MotorConfig.csv,MotorConfig.csv,10:33 14/09/2022,OK
AB028N,\\192.168.2.213\Confign\RS232C\MotorInitializeTurnConfig.csv,MotorInitializeTurnConfig.csv,12:42 06/01/2015,OK
AB028N,\\192.168.2.213\Confign\RS232C\MotorTeachingPosition.csv,MotorTeachingPosition.csv,11:47 11/01/2017,OK
AB028N,\\192.168.2.213\Confign\RS232C\MtrSerialConfig.csv,MtrSerialConfig.csv,21:00 05/01/2017,OK
AB028N,\\192.168.2.213\Confign\RS232C\TempMeterConfig.csv,TempMeterConfig.csv,07:48 26/08/2013,OK
AB028N,\\192.168.2.213\Confign\RS232C\UndaiConfig.csv,UndaiConfig.csv,14:16 19/08/2013,OK
AB028N,\\192.168.2.213\Confign\RS232C\Undai_SerialPortConfig.csv,Undai_SerialPortConfig.csv,14:32 22/03/2013,OK
AB028N,\\192.168.2.213\Confign\Alignment\Alignment0\AlignmentConfig0.csv,AlignmentConfig0.csv,12:03 27/01/2017,OK
AB028N,\\192.168.2.213\Confign\Alignment\Alignment0\AlignmentConfig1.csv,AlignmentConfig1.csv,12:03 27/01/2017,OK
AB028N,\\192.168.2.213\Confign\Alignment\Alignment0\AlignmentConfig2.csv,AlignmentConfig2.csv,12:03 27/01/2017,OK
AB028N,\\192.168.2.213\Confign\Alignment\Alignment0\AlignmentConfig3.csv,AlignmentConfig3.csv,09:31 21/03/2017,OK
AB028N,\\192.168.2.213\Confign\Alignment\Alignment1\AlignmentConfig0.csv,AlignmentConfig0.csv,17:01 01/02/2017,OK
AB028N,\\192.168.2.213\Confign\Alignment\Alignment2\AlignmentConfig0.csv,AlignmentConfig0.csv,14:16 18/04/2017,OK
AB028N,\\192.168.2.213\Confign\Alignment\Alignment3\AlignmentConfig0.csv,AlignmentConfig0.csv,14:16 18/04/2017,OK
AB028N,\\192.168.2.213\Confign\Alignment\Alignment3\AlignmentConfig1.csv,AlignmentConfig1.csv,07:30 16/02/2017,OK
AB028N,\\192.168.2.213\Confign\Alignment\Alignment3\AlignmentConfig2.csv,AlignmentConfig2.csv,20:08 01/03/2017,OK
AB028N,\\192.168.2.213\Confign\Alignment\Alignment3\AlignmentConfig3.csv,AlignmentConfig3.csv,07:30 16/02/2017,OK
AB028N,\\192.168.2.213\Confign\Alignment\Alignment4\AlignmentConfig0.csv,AlignmentConfig0.csv,11:41 15/02/2017,OK
AB028N,\\192.168.2.213\Confign\Alignment\Alignment4\AlignmentConfig1.csv,AlignmentConfig1.csv,12:06 27/01/2017,OK
AB028N,\\192.168.2.213\Confign\Alignment\Alignment4\AlignmentConfig2.csv,AlignmentConfig2.csv,12:06 27/01/2017,OK
AB028N,\\192.168.2.213\Confign\Alignment\Alignment4\AlignmentConfig3.csv,AlignmentConfig3.csv,12:06 27/01/2017,OK
AB028N,\\192.168.2.213\Confign\Alignment\Alignment5\AlignmentConfig0.csv,AlignmentConfig0.csv,14:13 27/01/2017,OK
AB028N,\\192.168.2.213\Confign\Camera\Pos0_18mm\cameraMeasConfig.csv,cameraMeasConfig.csv,14:20 16/11/2016,OK
AB028N,\\192.168.2.213\Confign\Camera\Pos0_18mm\camSerials.csv,camSerials.csv,15:44 19/10/2017,OK
AB028N,\\192.168.2.213\Confign\Camera\Pos1_35mm\cameraMeasConfig.csv,cameraMeasConfig.csv,14:20 16/11/2016,OK
AB028N,\\192.168.2.213\Confign\Camera\Pos1_35mm\camSerials.csv,camSerials.csv,15:44 19/10/2017,OK
