FilePath,FileName,NumberLine,Header,End,Status
AB061X,\\192.168.2.224\d3\23年04月14日_d3,T-MTF_2023.04.14_d3.csv,,,,OK
AB061X,\\192.168.2.224\d3\23年04月17日_d3,T-MTF_2023.04.17_d3.csv,,,,OK
AB061X,\\192.168.2.224\d3\23年04月18日_d3,T-MTF_2023.04.18_d3.csv,,,,OK
AB061X,\\192.168.2.224\d3\23年04月19日_d3,T-MTF_2023.04.19_d3.csv,,,,OK
AB061X,\\192.168.2.224\d3\23年04月20日_d3,T-MTF_2023.04.20_d3.csv,,,,OK
AB061X,\\192.168.2.224\d3\23年04月21日_d3,T-MTF_2023.04.21_d3.csv,,,,OK
AB061X,\\192.168.2.224\d3\23年04月24日_d3,T-MTF_2023.04.24_d3.csv,,,,OK
AB061X,\\192.168.2.224\d3\23年04月25日_d3,T-MTF_2023.04.25_d3.csv,,,,OK
AB061X,\\192.168.2.224\d3\23年04月26日_d3,T-MTF_2023.04.26_d3.csv,,,,OK
AB061X,\\192.168.2.224\d3\23年04月27日_d3,T-MTF_2023.04.27_d3.csv,,,,OK
AB061X,\\192.168.2.224\d3\23年04月28日_d3,T-MTF_2023.04.28_d3.csv,,,,OK
