 FilePath,FileName,DateModify,Status
AB061X,\\192.168.2.224\Config\VersionConfig.csv,VersionConfig.csv,21:25 17/03/2023,OK
AB061X,\\192.168.2.224\Config\Alignment\AlignmentModeConfig.csv,AlignmentModeConfig.csv,12:01 03/03/2021,OK
AB061X,\\192.168.2.224\Config\CameraCL\CameraConfig.csv,CameraConfig.csv,12:01 03/03/2021,OK
AB061X,\\192.168.2.224\Config\Cpk\CpkInfo.csv,CpkInfo.csv,11:49 22/10/2021,OK
AB061X,\\192.168.2.224\Config\General\measContainerNum.csv,measContainerNum.csv,12:01 03/03/2021,OK
AB061X,\\192.168.2.224\Config\General\measPosName.csv,measPosName.csv,12:01 03/03/2021,OK
AB061X,\\192.168.2.224\Config\General\SystemInfo.csv,SystemInfo.csv,20:45 17/03/2023,OK
AB061X,\\192.168.2.224\Config\MdDataSet\FocusShiftJudgement.csv,FocusShiftJudgement.csv,12:01 03/03/2021,OK
AB061X,\\192.168.2.224\Config\MdDataSetSP\RankInfo.csv,RankInfo.csv,12:51 28/07/2021,OK
AB061X,\\192.168.2.224\Config\MdDataSet_QA\FocusShiftJudgement.csv,FocusShiftJudgement.csv,12:01 03/03/2021,OK
AB061X,\\192.168.2.224\Config\ProcessControl\LensProc.csv,LensProc.csv,12:01 03/03/2021,OK
AB061X,\\192.168.2.224\Config\ProcessControl\ProcCtr.csv,ProcCtr.csv,12:01 03/03/2021,OK
AB061X,\\192.168.2.224\Config\ProcessControl\ShigyoFlg.csv,ShigyoFlg.csv,20:32 17/03/2023,OK
AB061X,\\192.168.2.224\Config\RS232C\CoordConfig.csv,CoordConfig.csv,12:01 03/03/2021,OK
AB061X,\\192.168.2.224\Config\RS232C\CSmcConfig.csv,CSmcConfig.csv,12:01 03/03/2021,OK
AB061X,\\192.168.2.224\Config\RS232C\DJBoardSerialConfig.csv,DJBoardSerialConfig.csv,12:01 03/03/2021,OK
AB061X,\\192.168.2.224\Config\RS232C\EH10Z_SerialPortConfig.csv,EH10Z_SerialPortConfig.csv,12:01 03/03/2021,OK
AB061X,\\192.168.2.224\Config\RS232C\EmountToolConfig.csv,EmountToolConfig.csv,12:01 03/03/2021,OK
AB061X,\\192.168.2.224\Config\RS232C\IAI_SerialPortConfig.csv,IAI_SerialPortConfig.csv,12:01 03/03/2021,OK
AB061X,\\192.168.2.224\Config\RS232C\IoConfig.csv,IoConfig.csv,12:01 03/03/2021,OK
AB061X,\\192.168.2.224\Config\RS232C\IoConfig_singleSol.csv,IoConfig_singleSol.csv,12:01 03/03/2021,OK
AB061X,\\192.168.2.224\Config\RS232C\IoSerialConfig.csv,IoSerialConfig.csv,12:01 03/03/2021,OK
AB061X,\\192.168.2.224\Config\RS232C\IrisAddressConfig.csv,IrisAddressConfig.csv,12:01 03/03/2021,OK
AB061X,\\192.168.2.224\Config\RS232C\IrisAddressConfig_CP.csv,IrisAddressConfig_CP.csv,12:01 03/03/2021,OK
