 FilePath,FileName,DateModify,Status
AB070S,\\192.168.2.99\Configs\Alignment\AlignmentModeConfig.csv,AlignmentModeConfig.csv,11:16 15/10/2020,OK
AB070S,\\192.168.2.99\Configs\CameraCL\CameraConfig.csv,CameraConfig.csv,11:16 15/10/2020,OK
AB070S,\\192.168.2.99\Configs\General\measContainerNum.csv,measContainerNum.csv,11:16 15/10/2020,OK
AB070S,\\192.168.2.99\Configs\General\measPosName.csv,measPosName.csv,11:16 15/10/2020,OK
AB070S,\\192.168.2.99\Configs\General\SystemInfo.csv,SystemInfo.csv,12:07 09/03/2023,OK
AB070S,\\192.168.2.99\Configs\MdDataSet\FocusShiftJudgement.csv,FocusShiftJudgement.csv,11:16 15/10/2020,OK
AB070S,\\192.168.2.99\Configs\MdDataSetSP\RankInfo.csv,RankInfo.csv,11:16 15/10/2020,OK
AB070S,\\192.168.2.99\Configs\MdDataSet_QA\FocusShiftJudgement.csv,FocusShiftJudgement.csv,11:16 15/10/2020,OK
AB070S,\\192.168.2.99\Configs\ProcessControl\LensProc.csv,LensProc.csv,11:16 15/10/2020,OK
AB070S,\\192.168.2.99\Configs\ProcessControl\ProcCtr.csv,ProcCtr.csv,11:16 15/10/2020,OK
AB070S,\\192.168.2.99\Configs\RS232C\CoordConfig.csv,CoordConfig.csv,11:16 15/10/2020,OK
AB070S,\\192.168.2.99\Configs\RS232C\CSmcConfig.csv,CSmcConfig.csv,11:16 15/10/2020,OK
AB070S,\\192.168.2.99\Configs\RS232C\DJBoardSerialConfig.csv,DJBoardSerialConfig.csv,11:16 15/10/2020,OK
AB070S,\\192.168.2.99\Configs\RS232C\EH10Z_SerialPortConfig.csv,EH10Z_SerialPortConfig.csv,11:16 15/10/2020,OK
AB070S,\\192.168.2.99\Configs\RS232C\EmountToolConfig.csv,EmountToolConfig.csv,11:16 15/10/2020,OK
AB070S,\\192.168.2.99\Configs\RS232C\IAI_SerialPortConfig.csv,IAI_SerialPortConfig.csv,11:16 15/10/2020,OK
AB070S,\\192.168.2.99\Configs\RS232C\IoConfig.csv,IoConfig.csv,11:16 15/10/2020,OK
AB070S,\\192.168.2.99\Configs\RS232C\IoConfig_singleSol.csv,IoConfig_singleSol.csv,11:16 15/10/2020,OK
AB070S,\\192.168.2.99\Configs\RS232C\IoSerialConfig.csv,IoSerialConfig.csv,11:16 15/10/2020,OK
AB070S,\\192.168.2.99\Configs\RS232C\IrisAddressConfig.csv,IrisAddressConfig.csv,11:16 15/10/2020,OK
AB070S,\\192.168.2.99\Configs\RS232C\IrisAddressConfig_CP.csv,IrisAddressConfig_CP.csv,11:16 15/10/2020,OK
AB070S,\\192.168.2.99\Configs\RS232C\IrisAddressConfig_EMount.csv,IrisAddressConfig_EMount.csv,11:16 15/10/2020,OK
AB070S,\\192.168.2.99\Configs\RS232C\IrisAddressConfig_EZ.csv,IrisAddressConfig_EZ.csv,11:16 15/10/2020,OK
AB070S,\\192.168.2.99\Configs\RS232C\IrisAddressMultiConfig.csv,IrisAddressMultiConfig.csv,11:16 15/10/2020,OK
AB070S,\\192.168.2.99\Configs\RS232C\MotorConfig.csv,MotorConfig.csv,10:52 06/02/2023,OK
AB070S,\\192.168.2.99\Configs\RS232C\MotorInitializeTurnConfig.csv,MotorInitializeTurnConfig.csv,11:16 15/10/2020,OK
AB070S,\\192.168.2.99\Configs\RS232C\MotorTeachingPosition.csv,MotorTeachingPosition.csv,11:16 15/10/2020,OK
AB070S,\\192.168.2.99\Configs\RS232C\MtrSerialConfig.csv,MtrSerialConfig.csv,11:16 15/10/2020,OK
AB070S,\\192.168.2.99\Configs\RS232C\TempMeterConfig.csv,TempMeterConfig.csv,11:16 15/10/2020,OK
AB070S,\\192.168.2.99\Configs\RS232C\TwoDimCodeConfig.csv,TwoDimCodeConfig.csv,11:16 15/10/2020,OK
